"jurisdicción";"año_2017";"año_2018";"año_2019";"año_2020";"año_2021";"año_2022";"año_2023";"año_2024";"año_2025";"año_2026"
"Total";"895";"1193";"1505";"1743";"2339";"2657";"2218";"2750";"1780";"186"
"Buenos Aires";"37";"45";"39";"62";"39";"60";"37";"6";"14";"4"
"CABA";"0";"1";"0";"1";"s/d";"s/d";"1";"s/d";"s/d";"s/d"
"Catamarca";"167";"146";"318";"164";"242";"188";"290";"197";"229";"15"
"Chaco";"18";"8";"102";"215";"122";"110";"6";"s/d";"1";"s/d"
"Chubut";"30";"25";"45";"46";"40";"39";"87";"71";"64";"20"
"Córdoba";"56";"50";"64";"96";"71";"144";"140";"52";"54";"1"
"Corrientes";"8";"15";"21";"58";"14";"106";"89";"778";"38";"7"
"Entre Ríos";"s/d";"22";"4";"29";"59";"144";"62";"5";"16";"9"
"Formosa";"10";"4";"11";"14";"34";"18";"17";"10";"4";"1"
"Jujuy";"51";"132";"238";"207";"342";"378";"319";"465";"335";"1"
"La Pampa";"89";"150";"91";"48";"19";"66";"70";"47";"85";"48"
"La Rioja";"40";"19";"150";"126";"179";"68";"11";"5";"8";"1"
"Mendoza";"185";"153";"91";"89";"93";"153";"78";"40";"78";"23"
"Misiones";"21";"15";"43";"71";"45";"47";"12";"10";"16";"6"
"Neuquén";"34";"37";"47";"61";"42";"12";"27";"61";"48";"33"
"Río Negro";"70";"115";"122";"79";"98";"54";"281";"81";"42";"8"
"Salta";"13";"133";"9";"100";"232";"222";"130";"298";"173";"s/d"
"San Juan";"5";"41";"3";"1";"s/d";"58";"22";"61";"58";"2"
"San Luis";"35";"54";"36";"29";"180";"310";"64";"55";"60";"s/d"
"Santa Cruz";"4";"6";"10";"7";"9";"4";"11";"6";"13";"2"
"Santa Fe";"s/d";"7";"19";"82";"50";"74";"26";"3";"3";"s/d"
"Santiago del Estero";"11";"3";"32";"38";"6";"20";"34";"10";"3";"s/d"
"Tierra del Fuego";"s/d";"1";"7";"2";"10";"6";"12";"14";"2";"s/d"
"Tucumán";"11";"11";"3";"118";"413";"376";"384";"474";"436";"5"
