año,provincia,n_incendios,fuente
2009,Buenos Aires,2987,series_estadisticas_2009-2016
2009,Catamarca,61,series_estadisticas_2009-2016
2009,Chaco,171,series_estadisticas_2009-2016
2009,Chubut,167,series_estadisticas_2009-2016
2009,Ciudad Autónoma de Buenos Aires,3,series_estadisticas_2009-2016
2009,Corrientes,42,series_estadisticas_2009-2016
2009,Córdoba,229,series_estadisticas_2009-2016
2009,Entre Ríos,30,series_estadisticas_2009-2016
2009,Formosa,18,series_estadisticas_2009-2016
2009,Jujuy,275,series_estadisticas_2009-2016
2009,La Pampa,12,series_estadisticas_2009-2016
2009,La Rioja,26,series_estadisticas_2009-2016
2009,Mendoza,123,series_estadisticas_2009-2016
2009,Misiones,282,series_estadisticas_2009-2016
2009,Neuquén,202,series_estadisticas_2009-2016
2009,Parques Nacionales,31,series_estadisticas_2009-2016
2009,Río Negro,1726,series_estadisticas_2009-2016
2009,Salta,892,series_estadisticas_2009-2016
2009,San Juan,282,series_estadisticas_2009-2016
2009,San Luis,182,series_estadisticas_2009-2016
2009,Santa Cruz,17,series_estadisticas_2009-2016
2009,Santa Fe,778,series_estadisticas_2009-2016
2009,Santiago del Estero,24,series_estadisticas_2009-2016
2009,Tierra del Fuego,23,series_estadisticas_2009-2016
2009,Tucumán,1757,series_estadisticas_2009-2016
2010,Buenos Aires,1644,series_estadisticas_2009-2016
2010,Catamarca,42,series_estadisticas_2009-2016
2010,Chaco,318,series_estadisticas_2009-2016
2010,Chubut,238,series_estadisticas_2009-2016
2010,Ciudad Autónoma de Buenos Aires,1,series_estadisticas_2009-2016
2010,Corrientes,50,series_estadisticas_2009-2016
2010,Córdoba,192,series_estadisticas_2009-2016
2010,Entre Ríos,60,series_estadisticas_2009-2016
2010,Formosa,,series_estadisticas_2009-2016
2010,Jujuy,218,series_estadisticas_2009-2016
2010,La Pampa,24,series_estadisticas_2009-2016
2010,La Rioja,37,series_estadisticas_2009-2016
2010,Mendoza,63,series_estadisticas_2009-2016
2010,Misiones,581,series_estadisticas_2009-2016
2010,Neuquén,125,series_estadisticas_2009-2016
2010,Parques Nacionales,22,series_estadisticas_2009-2016
2010,Río Negro,1246,series_estadisticas_2009-2016
2010,Salta,1062,series_estadisticas_2009-2016
2010,San Juan,314,series_estadisticas_2009-2016
2010,San Luis,47,series_estadisticas_2009-2016
2010,Santa Cruz,15,series_estadisticas_2009-2016
2010,Santa Fe,1024,series_estadisticas_2009-2016
2010,Santiago del Estero,67,series_estadisticas_2009-2016
2010,Tierra del Fuego,136,series_estadisticas_2009-2016
2010,Tucumán,,series_estadisticas_2009-2016
2011,Buenos Aires,1174,series_estadisticas_2009-2016
2011,Catamarca,38,series_estadisticas_2009-2016
2011,Chaco,529,series_estadisticas_2009-2016
2011,Chubut,169,series_estadisticas_2009-2016
2011,Ciudad Autónoma de Buenos Aires,3,series_estadisticas_2009-2016
2011,Corrientes,18,series_estadisticas_2009-2016
2011,Córdoba,147,series_estadisticas_2009-2016
2011,Entre Ríos,38,series_estadisticas_2009-2016
2011,Formosa,131,series_estadisticas_2009-2016
2011,Jujuy,212,series_estadisticas_2009-2016
2011,La Pampa,38,series_estadisticas_2009-2016
2011,La Rioja,161,series_estadisticas_2009-2016
2011,Mendoza,123,series_estadisticas_2009-2016
2011,Misiones,96,series_estadisticas_2009-2016
2011,Neuquén,157,series_estadisticas_2009-2016
2011,Parques Nacionales,12,series_estadisticas_2009-2016
2011,Río Negro,1130,series_estadisticas_2009-2016
2011,Salta,358,series_estadisticas_2009-2016
2011,San Juan,401,series_estadisticas_2009-2016
2011,San Luis,33,series_estadisticas_2009-2016
2011,Santa Cruz,11,series_estadisticas_2009-2016
2011,Santa Fe,1658,series_estadisticas_2009-2016
2011,Santiago del Estero,93,series_estadisticas_2009-2016
2011,Tierra del Fuego,20,series_estadisticas_2009-2016
2011,Tucumán,,series_estadisticas_2009-2016
2012,Buenos Aires,111,series_estadisticas_2009-2016
2012,Catamarca,84,series_estadisticas_2009-2016
2012,Chaco,597,series_estadisticas_2009-2016
2012,Chubut,89,series_estadisticas_2009-2016
2012,Ciudad Autónoma de Buenos Aires,6,series_estadisticas_2009-2016
2012,Corrientes,215,series_estadisticas_2009-2016
2012,Córdoba,135,series_estadisticas_2009-2016
2012,Entre Ríos,94,series_estadisticas_2009-2016
2012,Formosa,42,series_estadisticas_2009-2016
2012,Jujuy,199,series_estadisticas_2009-2016
2012,La Pampa,25,series_estadisticas_2009-2016
2012,La Rioja,167,series_estadisticas_2009-2016
2012,Mendoza,172,series_estadisticas_2009-2016
2012,Misiones,202,series_estadisticas_2009-2016
2012,Neuquén,105,series_estadisticas_2009-2016
2012,Parques Nacionales,8,series_estadisticas_2009-2016
2012,Río Negro,784,series_estadisticas_2009-2016
2012,Salta,443,series_estadisticas_2009-2016
2012,San Juan,307,series_estadisticas_2009-2016
2012,San Luis,33,series_estadisticas_2009-2016
2012,Santa Cruz,14,series_estadisticas_2009-2016
2012,Santa Fe,1613,series_estadisticas_2009-2016
2012,Santiago del Estero,72,series_estadisticas_2009-2016
2012,Tierra del Fuego,10,series_estadisticas_2009-2016
2012,Tucumán,80,series_estadisticas_2009-2016
2013,Buenos Aires,458,series_estadisticas_2009-2016
2013,Catamarca,90,series_estadisticas_2009-2016
2013,Chaco,480,series_estadisticas_2009-2016
2013,Chubut,106,series_estadisticas_2009-2016
2013,Ciudad Autónoma de Buenos Aires,6,series_estadisticas_2009-2016
2013,Corrientes,101,series_estadisticas_2009-2016
2013,Córdoba,173,series_estadisticas_2009-2016
2013,Entre Ríos,112,series_estadisticas_2009-2016
2013,Formosa,326,series_estadisticas_2009-2016
2013,Jujuy,246,series_estadisticas_2009-2016
2013,La Pampa,87,series_estadisticas_2009-2016
2013,La Rioja,248,series_estadisticas_2009-2016
2013,Mendoza,185,series_estadisticas_2009-2016
2013,Misiones,98,series_estadisticas_2009-2016
2013,Neuquén,141,series_estadisticas_2009-2016
2013,Parques Nacionales,21,series_estadisticas_2009-2016
2013,Río Negro,1036,series_estadisticas_2009-2016
2013,Salta,870,series_estadisticas_2009-2016
2013,San Juan,187,series_estadisticas_2009-2016
2013,San Luis,36,series_estadisticas_2009-2016
2013,Santa Cruz,8,series_estadisticas_2009-2016
2013,Santa Fe,1625,series_estadisticas_2009-2016
2013,Santiago del Estero,45,series_estadisticas_2009-2016
2013,Tierra del Fuego,16,series_estadisticas_2009-2016
2013,Tucumán,4,series_estadisticas_2009-2016
2014,Buenos Aires,2788,series_estadisticas_2009-2016
2014,Catamarca,69,series_estadisticas_2009-2016
2014,Chaco,445,series_estadisticas_2009-2016
2014,Chubut,76,series_estadisticas_2009-2016
2014,Ciudad Autónoma de Buenos Aires,2,series_estadisticas_2009-2016
2014,Corrientes,64,series_estadisticas_2009-2016
2014,Córdoba,291,series_estadisticas_2009-2016
2014,Entre Ríos,24,series_estadisticas_2009-2016
2014,Formosa,63,series_estadisticas_2009-2016
2014,Jujuy,158,series_estadisticas_2009-2016
2014,La Pampa,50,series_estadisticas_2009-2016
2014,La Rioja,167,series_estadisticas_2009-2016
2014,Mendoza,159,series_estadisticas_2009-2016
2014,Misiones,102,series_estadisticas_2009-2016
2014,Neuquén,90,series_estadisticas_2009-2016
