mes,año,provincia,n_incendios,ha_total,ha_bosque_nativo,ha_bosque_cultivado,ha_arbustal,ha_pastizal,ha_sin_determinar,causas_negligencia,causas_intencional,causas_natural,causas_desconocida,fuente
Enero,2024,Buenos Aires,,,,,,,,,,,,anuario_2024
Enero,2024,Catamarca,8,22,0,0,11,11,,1,,,7,anuario_2024
Enero,2024,Chaco,138,7029,1000,1027,1500,3502,,,,,138,anuario_2024
Enero,2024,Chubut,19,5127,3079,218,1152,678,,13,6,,,anuario_2024
Enero,2024,Ciudad Autónoma de Buenos Aires,,,,,,,,,,,,anuario_2024
Enero,2024,Corrientes,,,,,,,,,,,,anuario_2024
Enero,2024,Córdoba,10,812,200,,205,407,,1,6,,3,anuario_2024
Enero,2024,Entre Ríos,5,264,32,30,,202,,,,,5,anuario_2024
Enero,2024,Formosa,140,1011,141,,,870,,19,113,4,4,anuario_2024
Enero,2024,Jujuy,,,,,,,,,,,,anuario_2024
Enero,2024,La Pampa,27,19957,12142,,3498,4317,,4,1,13,9,anuario_2024
Enero,2024,La Rioja,,,,,,,,,,,,anuario_2024
Enero,2024,Mendoza,13,1654,1,,120,1534,,,1,8,4,anuario_2024
Enero,2024,Misiones,,,,,,,,,,,,anuario_2024
Enero,2024,Neuquén,6,64,,,30,30,4,,,3,3,anuario_2024
Enero,2024,Parques Nacionales,9,7699,6185,,991,211,312,2,2,1,4,anuario_2024
Enero,2024,Río Negro,50,1634,415,0.02,562,657,1,5,4,,41,anuario_2024
Enero,2024,Salta,,,,,,,,,,,,anuario_2024
Enero,2024,San Juan,87,27,,,8,19,,2,85,,,anuario_2024
Enero,2024,San Luis,6,4808,4274,,,534,,,,,6,anuario_2024
Enero,2024,Santa Cruz,1,1,,,1,,,1,,,,anuario_2024
Enero,2024,Santa Fe,,,,,,,,,,,,anuario_2024
Enero,2024,Santiago del Estero,,,,,,,,,,,,anuario_2024
Enero,2024,Tierra del Fuego,1,0,,,,0,,,,,1,anuario_2024
Enero,2024,Total,528,50128,27469,1275,8078,12989,317,48,218,29,233,anuario_2024
Enero,2024,Tucumán,8,17,,,0,17,,,,,8,anuario_2024
Febrero,2024,Buenos Aires,,,,,,,,,,,,anuario_2024
Febrero,2024,Catamarca,7,47,1,0,20,26,,2,1,,4,anuario_2024
Febrero,2024,Chaco,66,10834,2054,1062,2700,5018,,,,,66,anuario_2024
Febrero,2024,Chubut,4,31,,,0,31,,4,,,,anuario_2024
Febrero,2024,Ciudad Autónoma de Buenos Aires,,,,,,,,,,,,anuario_2024
Febrero,2024,Corrientes,,,,,,,,,,,,anuario_2024
Febrero,2024,Córdoba,4,330,50,,91,189,,,3,,1,anuario_2024
Febrero,2024,Entre Ríos,2,270,20,,,250,,,,,2,anuario_2024
Febrero,2024,Formosa,194,972,145,,,827,,59,112,13,10,anuario_2024
Febrero,2024,Jujuy,5,1,0,0,0.42,1,,5,,,,anuario_2024
Febrero,2024,La Pampa,9,9920,8118,,1,1801,,,,1,8,anuario_2024
Febrero,2024,La Rioja,,,,,,,,,,,,anuario_2024
Febrero,2024,Mendoza,3,76,8,,23,46,,,,2,1,anuario_2024
Febrero,2024,Misiones,1,1,,,,1,,,,,1,anuario_2024
Febrero,2024,Neuquén,,,,,,,,,,,,anuario_2024
Febrero,2024,Parques Nacionales,15,2396,584,,30,1782,0,2,2,8,3,anuario_2024
Febrero,2024,Río Negro,50,1612,904,0,3,705,0,8,2,2,38,anuario_2024
Febrero,2024,Salta,,,,,,,,,,,,anuario_2024
Febrero,2024,San Juan,62,281,250,,20,11,,,62,,,anuario_2024
Febrero,2024,San Luis,8,421,198,,,223,,,,,8,anuario_2024
Febrero,2024,Santa Cruz,,,,,,,,,,,,anuario_2024
Febrero,2024,Santa Fe,,,,,,,,,,,,anuario_2024
Febrero,2024,Santiago del Estero,,,,,,,,,,,,anuario_2024
Febrero,2024,Tierra del Fuego,,,,,,,,,,,,anuario_2024
Febrero,2024,Total,438,27196,12332,1062,2888,10913,0,80,182,26,150,anuario_2024
Febrero,2024,Tucumán,8,3,,,0,2,,,,,8,anuario_2024
Marzo,2024,Buenos Aires,,,,,,,,,,,,anuario_2024
Marzo,2024,Catamarca,5,17,,,1,16,,,1,,4,anuario_2024
Marzo,2024,Chaco,9,1000,,,300,700,,,,,9,anuario_2024
Marzo,2024,Chubut,4,0,,,0,0,,4,,,,anuario_2024
Marzo,2024,Ciudad Autónoma de Buenos Aires,,,,,,,,,,,,anuario_2024
Marzo,2024,Corrientes,,,,,,,,,,,,anuario_2024
Marzo,2024,Córdoba,10,221,,,,221,,,6,,4,anuario_2024
