año,provincia,n_incendios,ha_total,ha_bosque_nativo,ha_bosque_cultivado,ha_arbustal,ha_pastizal,ha_sin_determinar,causas_negligencia,causas_intencional,causas_natural,causas_desconocida,fuente
2022,Buenos Aires,2,142,,,,,142,,,,2,anuario_2022
2022,Catamarca,190,29268.68,981.81,1322.61,12140.65,14823.61,,26,8,1,155,anuario_2022
2022,Chaco,471,6094.49,,,,6094.49,,,,,471,anuario_2022
2022,Chubut,70,92.96,48.36,4.44,22.85,17.31,,53,13,,4,anuario_2022
2022,Ciudad Autónoma de Buenos Aires,3,0.09,,,,0.09,,1,,,2,anuario_2022
2022,Córdoba,505,64231.7,8710,3,12042,43476.7,,1,448,,56,anuario_2022
2022,Corrientes,18,88831,,2508,37559.5,38409,10354.5,,,,18,anuario_2022
2022,Entre Ríos,402,238942,430,124,25,238363,,,,,402,anuario_2022
2022,Formosa,1000,176387.65,,,2.56,176385.09,,8,136,,856,anuario_2022
2022,Jujuy,326,18519.34,6046.91,89.71,3648.21,4156.63,4577.88,,,,326,anuario_2022
2022,La Pampa,190,214248.55,62716.61,236.2,55147.63,96148.11,,11,50,25,104,anuario_2022
2022,La Rioja,50,36953.92,12214.87,102.25,11864.29,11866.71,905.8,,,,50,anuario_2022
2022,Mendoza,147,43826.2,3890,0.8,14171.05,25764.35,,21,35,16,75,anuario_2022
2022,Misiones,29,1958,200,35,400,1323,,,,,29,anuario_2022
2022,Neuquén,62,25.87,0.06,0.01,5.7,20.1,,26,4,3,29,anuario_2022
2022,Río Negro,141,9.38,0.28,1.78,4.71,2.62,,14,15,,112,anuario_2022
2022,Salta,613,199267,110.75,12,43658.4,155485.85,,,,,613,anuario_2022
2022,San Juan,1876,4677.5,86,214.5,56,4312,9,237,1599,8,32,anuario_2022
2022,San Luis,52,68458.88,39667.14,,,28791.74,,,,,52,anuario_2022
2022,Santa Cruz,11,421.5,,,314.8,106.71,,3,,,8,anuario_2022
2022,Santa Fe,39,44515.59,430.4,250,12.01,827.29,42995.89,,,,39,anuario_2022
2022,Santiago del Estero,350,18931.8,,,18931.8,,,,350,,,anuario_2022
2022,Tierra del Fuego,3,8200.38,7380.36,,410.02,246,164,,,,3,anuario_2022
2022,Tucumán,522,27861.96,1216.47,753,4405.24,21487.25,,,,,522,anuario_2022
2022,Parques Nacionales,61,109178.73,10762.74,11.21,9,47285.69,51110.09,11,28,1,21,anuario_2022
2024,Catamarca,201,6835,53,55,1678,5049,,38,5,1,157,anuario_2024
2024,Chaco,516,54278,3743,2410,10552,37573,,,,,516,anuario_2024
2024,Chubut,89,5460,3130,220,1155,955,,55,12,2,20,anuario_2024
2024,Córdoba,582,103325,14750,4481,23715,60379,,17,151,,414,anuario_2024
2024,Entre Ríos,75,21869,2520,295,550,18504,,,,,75,anuario_2024
2024,Formosa,1028,7415,2079,,1,5335,,111,860,21,36,anuario_2024
2024,Jujuy,436,1327,261,23,162,881,,398,,1,37,anuario_2024
2024,La Pampa,103,48281,23957,131,14521,9672,,10,23,20,50,anuario_2024
2024,La Rioja,1,150,,,,,150,,,,1,anuario_2024
2024,Mendoza,82,11491,443,140,1123,9785,,20,31,19,12,anuario_2024
2024,Misiones,26,291,,20,,271,,,,,26,anuario_2024
2024,Neuquén,6,64,,,30,30,4,,,3,3,anuario_2024
2024,Río Negro,571,5362,2389,58,995,1867,54,152,14,10,395,anuario_2024
2024,Salta,527,21661,45,42,745,20828,,,,,527,anuario_2024
2024,San Juan,485,581,270,,29,283,,9,420,56,,anuario_2024
2024,San Luis,60,59845,51960,,,7885,,,,,60,anuario_2024
2024,Santa Cruz,4,1,0,,1,0,,2,1,,1,anuario_2024
2024,Tierra del Fuego,2,1,1,,,0,,1,,,1,anuario_2024
2024,Tucumán,277,3255,1,20,121,3114,,,,,277,anuario_2024
2024,Parques Nacionales,104,40784,7250,,2275,27309,3950,9,47,11,37,anuario_2024
2024,Buenos Aires,,,,,,,,,,,,anuario_2024
2024,Ciudad Autónoma de Buenos Aires,,,,,,,,,,,,anuario_2024
2024,Corrientes,,,,,,,,,,,,anuario_2024
2024,Santa Fe,,,,,,,,,,,,anuario_2024
2024,Santiago del Estero,,,,,,,,,,,,anuario_2024
