año,provincia,ha_total,ha_bosque_nativo,fuente
1993,Buenos Aires,,,bqd_bninc_ha_año_2023
1993,Catamarca,,,bqd_bninc_ha_año_2023
1993,Chaco,,,bqd_bninc_ha_año_2023
1993,Chubut,150,10,bqd_bninc_ha_año_2023
1993,Corrientes,1727,,bqd_bninc_ha_año_2023
1993,Córdoba,232941,59995,bqd_bninc_ha_año_2023
1993,Entre Ríos,75,75,bqd_bninc_ha_año_2023
1993,Formosa,31,,bqd_bninc_ha_año_2023
1993,Jujuy,,,bqd_bninc_ha_año_2023
1993,La Pampa,1207510,1207510,bqd_bninc_ha_año_2023
1993,La Rioja,,,bqd_bninc_ha_año_2023
1993,Mendoza,,,bqd_bninc_ha_año_2023
1993,Misiones,,,bqd_bninc_ha_año_2023
1993,Neuquén,341,282,bqd_bninc_ha_año_2023
1993,Río Negro,111,108,bqd_bninc_ha_año_2023
1993,Salta,,,bqd_bninc_ha_año_2023
1993,San Juan,,,bqd_bninc_ha_año_2023
1993,San Luis,330147,,bqd_bninc_ha_año_2023
1993,Santa Cruz,6351,727,bqd_bninc_ha_año_2023
1993,Santa Fe,,,bqd_bninc_ha_año_2023
1993,Santiago del Estero,13000,9100,bqd_bninc_ha_año_2023
1993,Tierra del Fuego,28,28,bqd_bninc_ha_año_2023
1993,Tucumán,4412,3703,bqd_bninc_ha_año_2023
1994,Buenos Aires,,,bqd_bninc_ha_año_2023
1994,Catamarca,,,bqd_bninc_ha_año_2023
1994,Chaco,,,bqd_bninc_ha_año_2023
1994,Chubut,3297,2158,bqd_bninc_ha_año_2023
1994,Corrientes,140,,bqd_bninc_ha_año_2023
1994,Córdoba,240196,187812,bqd_bninc_ha_año_2023
1994,Entre Ríos,91,91,bqd_bninc_ha_año_2023
1994,Formosa,9,,bqd_bninc_ha_año_2023
1994,Jujuy,,,bqd_bninc_ha_año_2023
1994,La Pampa,621840,167890,bqd_bninc_ha_año_2023
1994,La Rioja,47150,10600,bqd_bninc_ha_año_2023
1994,Mendoza,,,bqd_bninc_ha_año_2023
1994,Misiones,,,bqd_bninc_ha_año_2023
1994,Neuquén,18050,0,bqd_bninc_ha_año_2023
