año,agregado,provincias,ha_total,ha_bosque_nativo,provincias_sin_dato_bn,nota
1993,provincias_patagonicas_5,Chubut|Neuquén|Río Negro|Santa Cruz|Tierra del Fuego,6981,1155,0,PROXY por provincia — no equivale a región fitogeográfica Bosque Andino Patagónico
1994,provincias_patagonicas_5,Chubut|Neuquén|Río Negro|Santa Cruz|Tierra del Fuego,26622,5332,0,PROXY por provincia — no equivale a región fitogeográfica Bosque Andino Patagónico
1995,provincias_patagonicas_5,Chubut|Neuquén|Río Negro|Santa Cruz|Tierra del Fuego,39070,2234,1,PROXY por provincia — no equivale a región fitogeográfica Bosque Andino Patagónico
1996,provincias_patagonicas_5,Chubut|Neuquén|Río Negro|Santa Cruz|Tierra del Fuego,118419,13119,0,PROXY por provincia — no equivale a región fitogeográfica Bosque Andino Patagónico
1997,provincias_patagonicas_5,Chubut|Neuquén|Río Negro|Santa Cruz|Tierra del Fuego,52913,5368,1,PROXY por provincia — no equivale a región fitogeográfica Bosque Andino Patagónico
1998,provincias_patagonicas_5,Chubut|Neuquén|Río Negro|Santa Cruz|Tierra del Fuego,106781,13550,1,PROXY por provincia — no equivale a región fitogeográfica Bosque Andino Patagónico
1999,provincias_patagonicas_5,Chubut|Neuquén|Río Negro|Santa Cruz|Tierra del Fuego,234891,20203,0,PROXY por provincia — no equivale a región fitogeográfica Bosque Andino Patagónico
2000,provincias_patagonicas_5,Chubut|Neuquén|Río Negro|Santa Cruz|Tierra del Fuego,178468,27790,0,PROXY por provincia — no equivale a región fitogeográfica Bosque Andino Patagónico
2001,provincias_patagonicas_5,Chubut|Neuquén|Río Negro|Santa Cruz|Tierra del Fuego,971244,40376,0,PROXY por provincia — no equivale a región fitogeográfica Bosque Andino Patagónico
2002,provincias_patagonicas_5,Chubut|Neuquén|Río Negro|Santa Cruz|Tierra del Fuego,359586,86013,0,PROXY por provincia — no equivale a región fitogeográfica Bosque Andino Patagónico
